priority	ID	population	family	individual	alive2010	alive2011	alive2012	flowered2010	flowered2011	flowered2012	siliques2010	rosettes2010	diamf2010	siliques2010all	siliques2011	rosettes2011	diamf2011	siliques2011all	siliques2012	rosettes2012	diamf2012	siliques2012all	siliques20102012sumall			
1	E3-19-4	E3	19	4	1	1	1	0	1	1	0	5	6	0	1602	20	16	1602	587	NA	NA	587	2189			
1	E3-19-5	E3	19	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-19-6	E3	19	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-19-7	E3	19	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-19-8	E3	19	8	1	1	1	0	1	1	0	9	5	0	1056	18	13	1056	693	25	15	693	1749			
1	E3-19-9	E3	19	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-19-10	E3	19	10	1	1	1	0	1	1	0	6	3	0	21	8	6	21	191	20	7	191	212			
1	E3-20-1	E3	20	1	1	1	1	0	1	1	0	6	4	0	NA	NA	NA	172	391	24	12	391	563			
1	E3-20-2	E3	20	2	1	1	1	0	1	1	0	1	9	0	710	10	8	710	1680	40	25	1680	2390			
1	E3-20-3	E3	20	3	1	1	1	0	1	1	0	11	5	0	222	17	6	222	821	NA	NA	821	1043			
1	E3-20-4	E3	20	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-20-5	E3	20	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-20-6	E3	20	6	1	1	1	0	1	1	0	6	7	0	324	16	11	324	2283	0	22	2283	2607			
1	E3-20-7	E3	20	7	1	1	1	0	1	1	0	3	3	0	147	11	5	147	995	28	14	995	1142			
1	E3-20-8	E3	20	8	1	1	1	0	1	1	0	6	5	0	728	12	7	728	114	14	9	114	842			
1	E3-20-9	E3	20	9	1	0	0	0	NA	NA	0	4	2	0	0	0	NA	0	0	0	NA	0	0			
1	E3-20-10	E3	20	10	1	1	1	0	1	1	0	5	4	0	427	15	15	427	1482	30	20	1482	1909			
1	E3-24-1	E3	24	1	1	1	1	0	1	1	0	6	4	0	178	NA	NA	178	656	12	13	656	834			
1	E3-24-2	E3	24	2	1	1	1	0	1	1	0	13	9	0	1555	15	12	1555	1660	25	30	1660	3215			
1	E3-24-3	E3	24	3	1	1	1	0	1	1	0	6	4	0	733	8	8	733	1145	NA	NA	1145	1878			
1	E3-24-4	E3	24	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-24-5	E3	24	5	1	1	1	0	1	1	0	5	4	0	140	6	3	140	280	5	8	280	420			
1	E3-24-6	E3	24	6	1	1	1	0	1	1	0	5	3	0	194	11	11	194	1667	0	18	1667	1861			
1	E3-24-7	E3	24	7	1	1	1	0	1	1	0	6	4	0	88	6	4	88	297	11	10	297	385			
1	E3-24-8	E3	24	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-24-9	E3	24	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-24-10	E3	24	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-1	E4	1	1	1	1	1	0	1	1	0	4	5	0	436	NA	NA	436	1544	24	16	1544	1980			
1	E4-1-2	E4	1	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-3	E4	1	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-4	E4	1	4	1	1	1	0	1	1	0	1	3	0	295	13	7	295	784	NA	NA	784	1079			
1	E4-1-5	E4	1	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-6	E4	1	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-7	E4	1	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-8	E4	1	8	1	1	1	0	1	1	0	5	3	0	565	11	5	565	1712	10	16	1712	2276			
1	E4-1-9	E4	1	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-1-10	E4	1	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-2-1	E4	2	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-2-2	E4	2	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E4-2-3	E4	2	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
