Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration
268	1	S	S4-51-1	S4	51	1	163	66	80	32	1	109
269	1	S	S4-51-2	S4	51	2	171	74	88	40	1	101
270	1	S	S4-67-1	S4	67	1	149	52	66	18	1	123
271	1	S	S4-67-2	S4	67	2	146	49	63	15	1	126
272	1	S	S4-71-1	S4	71	1	167	70	84	36	1	79
273	1	S	S4-71-2	S4	71	2	153	56	70	22	1	35
274	1	S	S4-92-1	S4	92	1	156	59	73	25	1	101
275	1	S	S4-92-2	S4	92	2	163	66	80	32	1	74
276	1	S	S4-X1-1	S4	X1	1	153	56	70	22	1	119
277	1	S	S4-X11-1	S4	X11	1	151	54	68	20	1	123
278	1	S	S4-X11-2	S4	X11	2	146	49	63	15	1	121
279	1	S	S4-X1-2	S4	X1	2	149	52	66	18	1	126
280	1	S	S4-X12-1	S4	X12	1	149	52	66	18	1	123
281	1	S	S4-X12-1-1selfed	S4	X12-1s	1	151	54	68	20	1	119
282	1	S	S4-X12-1-1selfed	S4	X12-1s	2	149	52	66	18	1	121
283	1	S	S4-X12-2	S4	X12	2	153	56	70	22	1	123
284	1	S	S4-X2-1	S4	X2	1	156	59	73	25	1	116
285	1	S	S4-X2-2	S4	X2	2	151	54	68	20	1	121
286	1	S	S4-X3-1	S4	X3	1	158	61	75	27	1	114
287	1	S	S4-X3-2	S4	X3	2	149	52	66	18	1	123
288	1	S	S4-X4-1	S4	X4	1	163	66	80	32	1	109
289	1	S	S4-X4-2	S4	X4	2	156	59	73	25	1	116
290	1	S	S4-X5-1	S4	X5	1	156	59	73	25	1	116
291	1	S	S4-X5-2	S4	X5	2	151	54	68	20	1	121
292	1	S	S4-X6-1	S4	X6	1	153	56	70	22	1	119
293	1	S	S4-X6-2	S4	X6	2	156	59	73	25	1	116
294	1	S	S4-X7-1	S4	X7	1	171	74	88	40	1	30
295	1	S	S4-X7-2	S4	X7	2	153	56	70	22	1	27
296	1	S	S4-X8-1	S4	X8	1	151	54	68	20	1	121
297	1	S	S4-X8-2	S4	X8	2	146	49	63	15	1	126
298	1	S	S4-X9-1	S4	X9	1	156	59	73	25	1	116
299	1	S	S4-X9-2	S4	X9	2	149	52	66	18	1	123
300	1	S	S5-13-1	S5	13	1	184	87	101	53	1	88
301	1	S	S5-13-2	S5	13	2	149	52	66	18	1	123
302	1	S	S5-18-1	S5	18	1	151	54	68	20	1	121
303	1	S	S5-18-2	S5	18	2	156	59	73	25	1	116
304	1	S	S5-33-2	S5	33	2	158	61	75	27	1	37
305	1	S	S5-39-1	S5	39	1	177	80	94	46	1	95
306	1	S	S5-39-2	S5	39	2	167	70	84	36	1	100
307	1	S	S5-40-1	S5	40	1	167	70	84	36	1	105
308	1	S	S5-40-2	S5	40	2	156	59	73	25	1	111
309	1	S	S5-42-1	S5	42	1	171	74	88	40	1	101
310	1	S	S5-42-2	S5	42	2	163	66	80	32	1	109
311	1	S	S5-53-1	S5	53	1	167	70	84	36	1	105
312	1	S	S5-53-2	S5	53	2	156	59	73	25	1	116
313	1	S	S5-54-1	S5	54	1	156	59	73	25	1	116
314	1	S	S5-54-2	S5	54	2	184	87	101	53	1	88
315	1	S	S5-55-1	S5	55	1	167	70	84	36	1	105
316	1	S	S5-55-2	S5	55	2	153	56	70	22	1	119
317	1	S	S5-78-1	S5	78	1	NA	NA	NA	NA	0	NA
318	1	S	S5-78-2	S5	78	2	NA	NA	NA	NA	0	NA
319	1	S	S5-9-1	S5	9	1	NA	NA	NA	NA	0	NA
320	1	S	S5-9-2	S5	9	2	NA	NA	NA	NA	0	NA
321	1	S	S5-X1-1	S5	X1	1	167	70	84	36	1	105
322	1	S	S5-X11-1	S5	X11	1	160	63	77	29	1	88
323	1	S	S5-X1-2	S5	X1	2	192	95	109	61	1	112
324	1	S	S5-X15-2	S5	X15	2	177	80	94	46	1	95
325	1	S	S5-X22-1	S5	X22	1	160	63	77	29	1	112
326	1	S	S5-X22-2	S5	X22	2	149	52	66	18	1	123
327	1	S	S5-X23-1	S5	X23	1	149	52	66	18	1	39
328	1	S	S5-X23-2	S5	X23	2	149	52	66	18	1	25
329	1	S	S5-X25-1	S5	X25	1	151	54	68	20	1	121
330	1	S	S5-X25-2	S5	X25	2	149	52	66	18	1	123
331	1	nix	PEP1-1+14	PEP1	1	1	163	66	80	32	1	123
332	1	nix	PEP1-2+14	PEP1	1	2	144	47	61	13	1	128
333	1	nix	PEP1-3+14	PEP1	1	3	146	49	63	15	1	126
