Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
169	1	F	F2-87-2	F2GRA	87	2	146	49	63	15	1	49	195	1
170	1	F	F2-99-1	F2GRA	99	1	146	49	63	15	1	42	188	1
171	1	F	F2-99-2	F2GRA	99	2	146	49	63	15	1	42	188	1
172	1	F	F2-S16-1	F2GRA	S16	1	146	49	63	15	1	19	165	1
173	1	F	F2-S6-1	F2GRA	S6	2	NA	NA	NA	NA	0	NA	NA	0
174	1	S	S1-11-1	S1	11	1	153	56	70	22	1	119	272	0
175	1	S	S1-11-2	S1	11	2	163	66	80	32	1	25	188	1
176	1	S	S1-12-1	S1	12	1	149	52	66	18	1	31	180	1
177	1	S	S1-12-2	S1	12	2	192	95	109	61	1	50	242	1
178	1	S	S1-15-2	S1	15	2	151	54	68	20	1	121	272	0
179	1	S	S1-16-1	S1	16	1	NA	NA	NA	NA	0	NA	NA	0
180	1	S	S1-16-2	S1	16	2	151	54	68	20	1	37	188	1
181	1	S	S1-20-1	S1	20	1	177	80	94	46	1	24	201	1
182	1	S	S1-20-2	S1	20	2	171	74	88	40	1	9	180	1
183	1	S	S1-2-1	S1	2	1	160	63	77	29	1	28	188	1
184	1	S	S1-2-2	S1	2	2	NA	NA	NA	NA	0	NA	NA	0
185	1	S	S1-22-1selfed(2009)	S1	22s'	1	153	56	70	22	1	48	201	1
186	1	S	S1-22-1self	S1	22s''	1	149	52	66	18	1	39	188	1
187	1	S	S1-22-1selfed	S1	22s'''	1	144	47	61	13	1	123	267	1
188	1	S	S1-22-2selfed2009	S1	22s'	2	149	52	66	18	1	128	277	1
189	1	S	S1-30-1	S1	30	1	156	59	73	25	1	24	180	1
190	1	S	S1-30-2	S1	30	2	177	80	94	46	1	38	215	1
191	1	S	S1-3-1	S1	3	1	146	49	63	15	1	126	272	0
192	1	S	S1-31-1	S1	31	1	153	56	70	22	1	121	274	1
193	1	S	S1-31-2	S1	31	2	160	63	77	29	1	119	279	1
194	1	S	S1-3-2	S1	3	2	151	54	68	20	1	112	263	1
195	1	S	S1-32-1	S1	32	1	146	49	63	15	1	126	272	0
196	1	S	S1-32-2	S1	32	2	149	52	66	18	1	108	257	1
197	1	S	S1-33-1	S1	33	1	156	59	73	25	1	39	195	1
198	1	S	S1-33-2	S1	33	2	153	56	70	22	1	48	201	1
199	1	S	S1-34-1	S1	34	1	156	59	73	25	1	53	209	1
200	1	S	S1-34-2	S1	34	2	153	56	70	22	1	42	195	1
201	1	S	S1-35-1	S1	35	1	146	49	63	15	1	126	272	0
202	1	S	S1-35-2	S1	35	2	177	80	94	46	1	38	215	1
203	1	S	S1-37-1	S1	37	1	156	59	73	25	1	24	180	1
204	1	S	S1-39-1	S1	39	1	153	56	70	22	1	119	272	0
205	1	S	S1-39-2	S1	39	2	151	54	68	20	1	121	272	0
206	1	S	S1-43-1	S1	43	1	NA	NA	NA	NA	0	NA	NA	0
207	1	S	S1-43-2	S1	43	2	149	52	66	18	1	123	272	0
208	1	S	S1-44-1	S1	44	1	146	49	63	15	1	34	180	1
209	1	S	S1-44-2	S1	44	2	184	87	101	53	1	88	272	0
210	1	S	S1-6-1	S1	6	1	146	49	63	15	1	126	272	0
211	1	S	S1-7-1	S1	7	1	149	52	66	18	1	123	272	0
212	1	S	S1-7-2	S1	7	2	149	52	66	18	1	123	272	0
213	1	S	S1-8-1	S1	8	1	149	52	66	18	1	123	272	0
214	1	S	S1-8-2	S1	8	2	144	47	61	13	1	128	272	0
215	1	S	S2-11-1	S2	11	1	151	54	68	20	1	121	272	0
216	1	S	S2-11-2	S2	11	2	NA	NA	NA	NA	0	NA	NA	0
217	1	S	S2-1-2	S2	1	2	167	70	84	36	1	90	257	1
218	1	S	S2-12-1	S2	12	1	151	54	68	20	1	29	180	1
219	1	S	S2-12-2	S2	12	2	NA	NA	NA	NA	0	NA	NA	0
220	1	S	S2-13-1	S2	13	1	163	66	80	32	1	74	237	1
221	1	S	S2-13-2	S2	13	2	184	87	101	53	1	62	246	1
222	1	S	S2-14-1	S2	14	1	184	87	101	53	1	53	237	1
223	1	S	S2-14-2	S2	14	2	153	56	70	22	1	48	201	1
224	1	S	S2-15-1	S2	15	1	156	59	73	25	1	111	267	1
225	1	S	S2-15-2	S2	15	2	156	59	73	25	1	116	272	0
226	1	S	S2-16-1	S2	16	1	149	52	66	18	1	25	174	1
227	1	S	S2-16-2	S2	16	2	151	54	68	20	1	106	257	1
228	1	S	S2-19-1	S2	16	1	156	59	73	25	1	NA	NA	0
229	1	S	S2-19-2	S2	16	2	NA	NA	NA	NA	0	NA	NA	0
230	1	S	S2-22-1	S2	22	1	NA	NA	NA	NA	0	NA	NA	0
231	1	S	S2-22-2	S2	22	2	151	54	68	20	1	37	188	1
232	1	S	S2-29-1	S2	29	1	149	52	66	18	1	123	272	0
233	1	S	S2-29-2	S2	29	2	NA	NA	NA	NA	0	NA	NA	0
234	1	S	S2-3-1	S2	3	1	149	52	66	18	1	31	180	1
235	1	S	S2-3-2	S2	3	2	153	56	70	22	1	119	272	0
